Gene ID	Species	GeneName	Symbol
NM_001135638	8394	Homo sapiens	phosphatidylinositol-4-phosphate 5-kinase type 1 alpha(PIP5K1A)	PIP5K1A
NM_001135635	83638	Homo sapiens	chromosome 11 open reading frame 68(C11orf68)	c11orf68
NM_001161429	202151	Homo sapiens	RAN binding protein 3 like(RANBP3L)	RANBP3L
NM_001135636	8394	Homo sapiens	phosphatidylinositol-4-phosphate 5-kinase type 1 alpha(PIP5K1A)	PIP5K1A
NM_002589	5099	Homo sapiens	protocadherin 7(PCDH7)	PCDH7
NM_002586	5089	Homo sapiens	PBX homeobox 2(PBX2)	PBX2
NM_002585	5087	Homo sapiens	PBX homeobox 1(PBX1)	PBX1
NM_002588	5098	Homo sapiens	protocadherin gamma subfamily C, 3(PCDHGC3)	PCDHGC3
NM_002587	5097	Homo sapiens	protocadherin 1(PCDH1)	PCDH1
NM_002592	5111	Homo sapiens	proliferating cell nuclear antigen(PCNA)	PCNA
NM_002593	5118	Homo sapiens	procollagen C-endopeptidase enhancer(PCOLCE)	PCOLCE
NM_002594	5126	Homo sapiens	proprotein convertase subtilisin/kexin type 2(PCSK2)	pcsk2
NM_002595	5128	Homo sapiens	cyclin dependent kinase 17(CDK17)	CDK17
NM_002590	5100	Homo sapiens	protocadherin 8(PCDH8)	PCDH8
NM_002591	5105	Homo sapiens	phosphoenolpyruvate carboxykinase 1(PCK1)	PCK1
NM_001145143	200909	Homo sapiens	5-hydroxytryptamine receptor 3D(HTR3D)	HTR3D
NM_001145140	100130361	Homo sapiens	chromosome X open reading frame 49(CXorf49)	CXorf49
NM_001145134	1375	Homo sapiens	carnitine palmitoyltransferase 1B(CPT1B)	CPT1B
NM_001145136	1375	Homo sapiens	carnitine palmitoyltransferase 1B(CPT1B)	CPT1B
NM_001145135	1375	Homo sapiens	carnitine palmitoyltransferase 1B(CPT1B)	CPT1B
NM_001135648	5796	Homo sapiens	protein tyrosine phosphatase, receptor type K(PTPRK)	PTPRK
NM_001145138	5970	Homo sapiens	RELA proto-oncogene, NF-kB subunit(RELA)	RELA
NM_001135649	344167	Homo sapiens	forkhead box I3(FOXI3)	FOXI3
NM_001145137	1375	Homo sapiens	carnitine palmitoyltransferase 1B(CPT1B)	CPT1B
NM_001135644	51164	Homo sapiens	dynactin subunit 4(DCTN4)	DCTN4
NM_001135647	51307	Homo sapiens	family with sequence similarity 53 member C(FAM53C)	fam53c
NM_002599	5138	Homo sapiens	phosphodiesterase 2A(PDE2A)	PDE2A
NM_002598	5134	Homo sapiens	programmed cell death 2(PDCD2)	PDCD2
NM_002597	5132	Homo sapiens	phosducin(PDC)	PDC
NM_001135642	51763	Homo sapiens	inositol polyphosphate-5-phosphatase K(INPP5K)	INPP5K
NM_002596	5129	Homo sapiens	cyclin dependent kinase 18(CDK18)	CDK18
NM_001135643	51164	Homo sapiens	dynactin subunit 4(DCTN4)	DCTN4
NM_001161443	9047	Homo sapiens	SH2 domain containing 2A(SH2D2A)	SH2D2A
NM_001161444	9047	Homo sapiens	SH2 domain containing 2A(SH2D2A)	SH2D2A
NM_001161441	9047	Homo sapiens	SH2 domain containing 2A(SH2D2A)	SH2D2A
NM_001161442	9047	Homo sapiens	SH2 domain containing 2A(SH2D2A)	SH2D2A
NM_001161440	5794	Homo sapiens	protein tyrosine phosphatase, receptor type H(PTPRH)	PTPRH
NM_001145169	165082	Homo sapiens	adhesion G protein-coupled receptor F3(ADGRF3)	ADGRF3
NM_001145168	165082	Homo sapiens	adhesion G protein-coupled receptor F3(ADGRF3)	ADGRF3
NM_001145167	10196	Homo sapiens	protein arginine methyltransferase 3(PRMT3)	PRMT3
NM_001145166	10196	Homo sapiens	protein arginine methyltransferase 3(PRMT3)	PRMT3
NM_001135610	7799	Homo sapiens	PR/SET domain 2(PRDM2)	PRDM2
NM_001161407	54602	Homo sapiens	Nedd4 family interacting protein 2(NDFIP2)	NDFIP2
NM_001161415	2840	Homo sapiens	G protein-coupled receptor 17(GPR17)	gpr17
NM_001161416	2840	Homo sapiens	G protein-coupled receptor 17(GPR17)	gpr17
NM_001161417	2840	Homo sapiens	G protein-coupled receptor 17(GPR17)	gpr17
NM_001145165	83475	Homo sapiens	deoxyhypusine hydroxylase/monooxygenase(DOHH)	DOHH
NM_001145160	7171	Homo sapiens	tropomyosin 4(TPM4)	TPM4
NM_001145161	134111	Homo sapiens	ubiquitin conjugating enzyme E2 Q family like 1(UBE2QL1)	UBE2QL1
NM_001145159	55756	Homo sapiens	integrator complex subunit 9(INTS9)	INTS9
NM_001135629	129285	Homo sapiens	protein phosphatase 1 regulatory subunit 21(PPP1R21)	PPP1R21
NM_001145156	7026	Homo sapiens	nuclear receptor subfamily 2 group F member 2(NR2F2)	NR2F2
NM_001145155	7026	Homo sapiens	nuclear receptor subfamily 2 group F member 2(NR2F2)	NR2F2
NM_001145158	10767	Homo sapiens	HBS1 like translational GTPase(HBS1L)	HBS1L
NM_001145157	7026	Homo sapiens	nuclear receptor subfamily 2 group F member 2(NR2F2)	NR2F2
NM_001161427	162963	Homo sapiens	zinc finger protein 610(ZNF610)	ZNF610
NM_001161425	162963	Homo sapiens	zinc finger protein 610(ZNF610)	ZNF610
NM_001161426	162963	Homo sapiens	zinc finger protein 610(ZNF610)	ZNF610
NM_001145152	137492	Homo sapiens	VPS37A, ESCRT-I subunit(VPS37A)	VPS37A
NM_001145153	137835	Homo sapiens	transmembrane protein 71(TMEM71)	TMEM71
NM_001145154	127602	Homo sapiens	dynein axonemal heavy chain 14(DNAH14)	dnah14
NM_001001734	480	Homo sapiens	ATPase Na+/K+ transporting subunit alpha 4(ATP1A4)	ATP1A4
NM_001145108	4753	Homo sapiens	neural EGFL like 2(NELL2)	NELL2
NM_001145109	4753	Homo sapiens	neural EGFL like 2(NELL2)	NELL2
NM_175709	23492	Homo sapiens	chromobox 7(CBX7)	CBX7
NM_001145102	4088	Homo sapiens	SMAD family member 3(SMAD3)	SMAD3
NM_001145103	4088	Homo sapiens	SMAD family member 3(SMAD3)	SMAD3
NM_001145101	643376	Homo sapiens	BTB domain containing 18(BTBD18)	Btbd18
NM_001145106	84929	Homo sapiens	fibrinogen C domain containing 1(FIBCD1)	FIBCD1
NM_001145107	4753	Homo sapiens	neural EGFL like 2(NELL2)	NELL2
NM_001145104	4088	Homo sapiens	SMAD family member 3(SMAD3)	SMAD3
NM_001001732	387707	Homo sapiens	coiled-coil and C2 domain containing 2B(CC2D2B)	CC2D2B
NM_001161473	221	Homo sapiens	aldehyde dehydrogenase 3 family member B1(ALDH3B1)	ALDH3B1
NM_001161476	79446	Homo sapiens	WD repeat domain 25(WDR25)	WDR25
NM_001135602	2720	Homo sapiens	galactosidase beta 1(GLB1)	GLB1
NM_175719	7173	Homo sapiens	thyroid peroxidase(TPO)	TPO
NM_001135608	23092	Homo sapiens	Rho GTPase activating protein 26(ARHGAP26)	ARHGAP26
NM_001135604	11082	Homo sapiens	endothelial cell specific molecule 1(ESM1)	ESM1
NM_175710	1379	Homo sapiens	complement C3b/C4b receptor 1 like(CR1L)	CR1L
NM_175711	10214	Homo sapiens	SSX family member 3(SSX3)	SSX3
NM_001153446	60592	Homo sapiens	short coiled-coil protein(SCOC)	SCOC
NM_001001716	4793	Homo sapiens	NFKB inhibitor beta(NFKBIB)	NFKBIB
NM_001001713	6450	Homo sapiens	SH3 domain binding glutamate rich protein(SH3BGR)	SH3BGR
NM_001001715	10160	Homo sapiens	FERM, ARH/RhoGEF and pleckstrin domain protein 1(FARP1)	FARP1
NM_001145128	221264	Homo sapiens	adenylate kinase 9(AK9)	AK9
NM_001145129	651302	Homo sapiens	zinc finger protein 192 pseudogene 1(ZNF192P1)	ZNF192P1
NM_001001710	401565	Homo sapiens	family with sequence similarity 166 member A(FAM166A)	FAM166A
NM_001001711	414301	Homo sapiens	DNA damage inducible 1 homolog 1(DDI1)	DDI1
NM_001145127	645027	Homo sapiens	envoplakin like(EVPLL)	evpll
NM_001145124	441452	Homo sapiens	SPATA31 subfamily C member 1(SPATA31C1)	SPATA31C1
NM_001145125	23608	Homo sapiens	makorin ring finger protein 1(MKRN1)	MKRN1
NM_001145122	440854	Homo sapiens	calpain 14(CAPN14)	CAPN14
NM_001145123	10842	Homo sapiens	protein phosphatase 1 regulatory subunit 17(PPP1R17)	PPP1R17
NM_001161452	220002	Homo sapiens	cytochrome b561 family member A3(CYB561A3)	CYB561A3
NM_001161454	220002	Homo sapiens	cytochrome b561 family member A3(CYB561A3)	CYB561A3
NM_001001709	401535	Homo sapiens	chromosome 9 open reading frame 170(C9orf170)	C9orf170
NM_001001701	401152	Homo sapiens	chromosome 4 open reading frame 3(C4orf3)	C4orf3
NM_001145115	648791	Homo sapiens	protein phosphatase 1 regulatory subunit 3G(PPP1R3G)	PPP1R3G
NM_001145118	392862	Homo sapiens	Grid2 interacting protein(GRID2IP)	GRID2IP
NM_001145112	197135	Homo sapiens	PAT1 homolog 2(PATL2)	PATL2
NM_001145113	255275	Homo sapiens	myeloid associated differentiation marker like 2(MYADML2)	MYADML2
NM_001145114	23223	Homo sapiens	ribosomal RNA processing 12 homolog(RRP12)	RRP12
NM_001145110	4753	Homo sapiens	neural EGFL like 2(NELL2)	NELL2
NM_001161465	65094	Homo sapiens	jumonji domain containing 4(JMJD4)	JMJD4
NM_002509	4821	Homo sapiens	NK2 homeobox 2(NKX2-2)	NKX2-2
NM_002508	4811	Homo sapiens	nidogen 1(NID1)	NID1
NM_002507	4804	Homo sapiens	nerve growth factor receptor(NGFR)	NGFR
NM_002506	4803	Homo sapiens	nerve growth factor(NGF)	NGF
NM_002505	4800	Homo sapiens	nuclear transcription factor Y subunit alpha(NFYA)	NFYA
NM_002504	4799	Homo sapiens	nuclear transcription factor, X-box binding 1(NFX1)	NFX1
NM_002503	4793	Homo sapiens	NFKB inhibitor beta(NFKBIB)	NFKBIB
NM_002502	4791	Homo sapiens	nuclear factor kappa B subunit 2(NFKB2)	NFKB2
NM_002501	4784	Homo sapiens	nuclear factor I X(NFIX)	NFIX
NM_002500	4760	Homo sapiens	neuronal differentiation 1(NEUROD1)	NEUROD1
NM_001099852	645425	Homo sapiens	PRAME family member 20(PRAMEF20)	PRAMEF20
NM_001099850	391003	Homo sapiens	PRAME family member 18(PRAMEF18)	PRAMEF18
NM_001099851	391004	Homo sapiens	PRAME family member 17(PRAMEF17)	PRAMEF17
NM_001099856	8517	Homo sapiens	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase gamma(IKBKG)	IKBKG
NM_001099857	8517	Homo sapiens	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase gamma(IKBKG)	IKBKG
NM_001099855	4168	Homo sapiens	MCF.2 cell line derived transforming sequence(MCF2)	MCF2
NM_001099858	79020	Homo sapiens	chromosome 7 open reading frame 25(C7orf25)	c7orf25
NM_002517	4861	Homo sapiens	neuronal PAS domain protein 1(NPAS1)	NPAS1
NM_002516	4858	Homo sapiens	NOVA alternative splicing regulator 2(NOVA2)	NOVA2
NM_002519	4863	Homo sapiens	nuclear protein, coactivator of histone transcription(NPAT)	NPAT
NM_002518	4862	Homo sapiens	neuronal PAS domain protein 2(NPAS2)	NPAS2
NM_002513	4832	Homo sapiens	NME/NM23 nucleoside diphosphate kinase 3(NME3)	NME3
NM_002512	4831	Homo sapiens	NME/NM23 nucleoside diphosphate kinase 2(NME2)	NME2
NM_002515	4857	Homo sapiens	NOVA alternative splicing regulator 1(NOVA1)	NOVA1
NM_002514	4856	Homo sapiens	nephroblastoma overexpressed(NOV)	NOV
NM_002511	4829	Homo sapiens	neuromedin B receptor(NMBR)	NMBR
NM_002510	10457	Homo sapiens	glycoprotein nmb(GPNMB)	GPNMB
NM_001135690	5179	Homo sapiens	proenkephalin(PENK)	PENK
NM_001135691	6570	Homo sapiens	solute carrier family 18 member A1(SLC18A1)	SLC18A1
NM_001161498	400224	Homo sapiens	pleckstrin homology and coiled-coil domain containing D1(PLEKHD1)	PLEKHD1
NM_001161499	81856	Homo sapiens	zinc finger protein 611(ZNF611)	ZNF611
NM_002529	4914	Homo sapiens	neurotrophic receptor tyrosine kinase 1(NTRK1)	NTRK1
NM_002528	4913	Homo sapiens	nth like DNA glycosylase 1(NTHL1)	nthl1
NM_002527	4908	Homo sapiens	neurotrophin 3(NTF3)	NTF3
NM_002522	4884	Homo sapiens	neuronal pentraxin 1(NPTX1)	NPTX1
NM_002521	4879	Homo sapiens	natriuretic peptide B(NPPB)	nppb
NM_001135697	6442	Homo sapiens	sarcoglycan alpha(SGCA)	SGCA
NM_002520	4869	Homo sapiens	nucleophosmin(NPM1)	NPM1
NM_001135699	7534	Homo sapiens	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta(YWHAZ)	YWHAZ
NM_002526	4907	Homo sapiens	5'-nucleotidase ecto(NT5E)	NT5E
NM_002525	4898	Homo sapiens	nardilysin convertase(NRDC)	NRDC
NM_002524	4893	Homo sapiens	neuroblastoma RAS viral oncogene homolog(NRAS)	NRAS
NM_002523	4885	Homo sapiens	neuronal pentraxin 2(NPTX2)	NPTX2
NM_002540	4957	Homo sapiens	outer dense fiber of sperm tails 2(ODF2)	ODF2
NM_002539	4953	Homo sapiens	ornithine decarboxylase 1(ODC1)	ODC1
NM_002538	100506658	Homo sapiens	occludin(OCLN)	OCLN
NM_002531	4923	Homo sapiens	neurotensin receptor 1(NTSR1)	NTSR1
NM_002530	4916	Homo sapiens	neurotrophic receptor tyrosine kinase 3(NTRK3)	NTRK3
NM_002533	4931	Homo sapiens	nuclear VCP-like(NVL)	NVL
NM_002532	4927	Homo sapiens	nucleoporin 88(NUP88)	NUP88
NM_002535	4939	Homo sapiens	2'-5'-oligoadenylate synthetase 2(OAS2)	OAS2
NM_002534	4938	Homo sapiens	2'-5'-oligoadenylate synthetase 1(OAS1)	OAS1
NM_002537	4947	Homo sapiens	ornithine decarboxylase antizyme 2(OAZ2)	OAZ2
NM_002536	4943	Homo sapiens	TBC1 domain family member 25(TBC1D25)	TBC1D25
NM_002551	4995	Homo sapiens	olfactory receptor family 3 subfamily A member 2(OR3A2)	OR3A2
NM_001135670	4482	Homo sapiens	methionine sulfoxide reductase A(MSRA)	MSRA
NM_001135671	4482	Homo sapiens	methionine sulfoxide reductase A(MSRA)	MSRA
NM_001135672	9673	Homo sapiens	solute carrier family 25 member 44(SLC25A44)	SLC25A44
NM_002547	4983	Homo sapiens	oligophrenin 1(OPHN1)	OPHN1
NM_002548	4991	Homo sapiens	olfactory receptor family 1 subfamily D member 2(OR1D2)	OR1D2
NM_002545	4978	Homo sapiens	opioid binding protein/cell adhesion molecule like(OPCML)	OPCML
NM_002546	4982	Homo sapiens	TNF receptor superfamily member 11b(TNFRSF11B)	TNFRSF11B
NM_002543	4973	Homo sapiens	oxidized low density lipoprotein receptor 1(OLR1)	OLR1
NM_001135674	114926	Homo sapiens	small integral membrane protein 19(SMIM19)	SMIM19
NM_001135673	64225	Homo sapiens	atlastin GTPase 2(ATL2)	ATL2
NM_002544	4974	Homo sapiens	oligodendrocyte myelin glycoprotein(OMG)	OMG
NM_002541	4967	Homo sapiens	oxoglutarate dehydrogenase(OGDH)	OGDH
NM_001135676	114926	Homo sapiens	small integral membrane protein 19(SMIM19)	SMIM19
NM_002542	4968	Homo sapiens	8-oxoguanine DNA glycosylase(OGG1)	OGG1
NM_001135675	114926	Homo sapiens	small integral membrane protein 19(SMIM19)	SMIM19
NM_002560	5025	Homo sapiens	purinergic receptor P2X 4(P2RX4)	P2RX4
NM_002562	5027	Homo sapiens	purinergic receptor P2X 7(P2RX7)	P2RX7
NM_002561	5026	Homo sapiens	purinergic receptor P2X 5(P2RX5)	P2RX5
NM_002556	5007	Homo sapiens	oxysterol binding protein(OSBP)	OSBP
NM_002557	5016	Homo sapiens	oviductal glycoprotein 1(OVGP1)	OVGP1
NM_002558	5023	Homo sapiens	purinergic receptor P2X 1(P2RX1)	P2RX1
NM_002552	5000	Homo sapiens	origin recognition complex subunit 4(ORC4)	ORC4
NM_145762	64096	Homo sapiens	GDNF family receptor alpha 4(GFRA4)	GFRA4
NM_002553	5001	Homo sapiens	origin recognition complex subunit 5(ORC5)	ORC5
NM_001135685	4058	Homo sapiens	leukocyte receptor tyrosine kinase(LTK)	LTK
NM_145764	4257	Homo sapiens	microsomal glutathione S-transferase 1(MGST1)	MGST1
NM_002555	5002	Homo sapiens	solute carrier family 22 member 18(SLC22A18)	SLC22A18
NM_058004	5297	Homo sapiens	phosphatidylinositol 4-kinase alpha(PI4KA)	PI4KA
NM_001031807	390598	Homo sapiens	SKI family transcriptional corepressor 1(SKOR1)	SKOR1
NM_001031806	224	Homo sapiens	aldehyde dehydrogenase 3 family member A2(ALDH3A2)	ALDH3A2
NM_002573	5050	Homo sapiens	platelet activating factor acetylhydrolase 1b catalytic subunit 3(PAFAH1B3)	PAFAH1B3
NM_002572	5049	Homo sapiens	platelet activating factor acetylhydrolase 1b catalytic subunit 2(PAFAH1B2)	PAFAH1B2
NM_002570	5046	Homo sapiens	proprotein convertase subtilisin/kexin type 6(PCSK6)	PCSK6
NM_001135650	9521	Homo sapiens	eukaryotic translation elongation factor 1 epsilon 1(EEF1E1)	EEF1E1
NM_001135652	5610	Homo sapiens	eukaryotic translation initiation factor 2 alpha kinase 2(EIF2AK2)	eif2ak2
NM_002565	5030	Homo sapiens	pyrimidinergic receptor P2Y4(P2RY4)	P2RY4
NM_145796	23126	Homo sapiens	pogo transposable element with ZNF domain(POGZ)	POGZ
NM_001135651	5610	Homo sapiens	eukaryotic translation initiation factor 2 alpha kinase 2(EIF2AK2)	eif2ak2
NM_002566	5032	Homo sapiens	purinergic receptor P2Y11(P2RY11)	p2ry11
NM_001135654	8761	Homo sapiens	poly(A) binding protein cytoplasmic 4(PABPC4)	PABPC4
NM_002563	5028	Homo sapiens	purinergic receptor P2Y1(P2RY1)	p2ry1
NM_001135653	8761	Homo sapiens	poly(A) binding protein cytoplasmic 4(PABPC4)	PABPC4
NM_002564	5029	Homo sapiens	purinergic receptor P2Y2(P2RY2)	P2RY2
NM_002569	5045	Homo sapiens	furin, paired basic amino acid cleaving enzyme(FURIN)	FURIN
NM_001135655	4062	Homo sapiens	lymphocyte antigen 6 complex, locus H(LY6H)	LY6H
NM_002567	5037	Homo sapiens	phosphatidylethanolamine binding protein 1(PEBP1)	PEBP1
NM_145798	114881	Homo sapiens	oxysterol binding protein like 7(OSBPL7)	OSBPL7
NM_002568	26986	Homo sapiens	poly(A) binding protein cytoplasmic 1(PABPC1)	PABPC1
NM_001031812	1456	Homo sapiens	casein kinase 1 gamma 3(CSNK1G3)	csnk1g3
NM_145799	23157	Homo sapiens	septin 6(SEPT6)	SEPT6
NM_001135659	9378	Homo sapiens	neurexin 1(NRXN1)	NRXN1
NM_184234	9584	Homo sapiens	RNA binding motif protein 39(RBM39)	RBM39
NM_184231	51517	Homo sapiens	NCK interacting protein with SH3 domain(NCKIPSD)	nckipsd
NM_145791	4257	Homo sapiens	microsomal glutathione S-transferase 1(MGST1)	MGST1
NM_002582	5073	Homo sapiens	poly(A)-specific ribonuclease(PARN)	PARN
NM_002581	5069	Homo sapiens	pappalysin 1(PAPPA)	PAPPA
NM_145793	2674	Homo sapiens	GDNF family receptor alpha 1(GFRA1)	GFRA1
NM_002584	5081	Homo sapiens	paired box 7(PAX7)	PAX7
NM_145792	4257	Homo sapiens	microsomal glutathione S-transferase 1(MGST1)	MGST1
NM_002583	5074	Homo sapiens	pro-apoptotic WT1 regulator(PAWR)	PAWR
NM_002574	5052	Homo sapiens	peroxiredoxin 1(PRDX1)	PRDX1
NM_001135664	8934	Homo sapiens	RAB29, member RAS oncogene family(RAB29)	RAB29
NM_002575	5055	Homo sapiens	serpin family B member 2(SERPINB2)	SERPINB2
NM_001135663	8934	Homo sapiens	RAB29, member RAS oncogene family(RAB29)	RAB29
NM_002576	5058	Homo sapiens	p21 (RAC1) activated kinase 1(PAK1)	PAK1
NM_001031800	261726	Homo sapiens	TOR signaling pathway regulator(TIPRL)	TIPRL
NM_001135662	8934	Homo sapiens	RAB29, member RAS oncogene family(RAB29)	RAB29
NM_002577	5062	Homo sapiens	p21 (RAC1) activated kinase 2(PAK2)	PAK2
NM_001135669	9213	Homo sapiens	xenotropic and polytropic retrovirus receptor 1(XPR1)	XPR1
NM_002578	5063	Homo sapiens	p21 (RAC1) activated kinase 3(PAK3)	PAK3
NM_001031801	3985	Homo sapiens	LIM domain kinase 2(LIMK2)	LIMK2
NM_002579	5064	Homo sapiens	paralemmin(PALM)	PALM
NM_001031804	4094	Homo sapiens	MAF bZIP transcription factor(MAF)	MAF
NM_001031803	3993	Homo sapiens	LLGL2, scribble cell polarity complex component(LLGL2)	LLGL2
NM_152582	728911	Homo sapiens	cancer/testis antigen family 45 member A2(CT45A2)	CT45A2
NM_152581	158747	Homo sapiens	motile sperm domain containing 2(MOSPD2)	MOSPD2
NM_152588	160335	Homo sapiens	transmembrane and tetratricopeptide repeat containing 2(TMTC2)	TMTC2
NM_152587	160140	Homo sapiens	chromosome 11 open reading frame 65(C11orf65)	c11orf65
NM_152586	159195	Homo sapiens	ubiquitin specific peptidase 54(USP54)	USP54
NM_152589	160419	Homo sapiens	chromosome 12 open reading frame 50(C12orf50)	C12orf50
NM_152590	160492	Homo sapiens	lamin tail domain containing 1(LMNTD1)	LMNTD1
NM_152591	160762	Homo sapiens	coiled-coil domain containing 63(CCDC63)	CCDC63
NM_145858	9946	Homo sapiens	crystallin zeta like 1(CRYZL1)	CRYZL1
NM_152571	158055	Homo sapiens	chromosome 9 open reading frame 163(C9orf163)	C9orf163
NM_152570	158038	Homo sapiens	leucine rich repeat and Ig domain containing 2(LINGO2)	LINGO2
NM_152573	158158	Homo sapiens	RAS and EF-hand domain containing(RASEF)	RASEF
NM_145859	11235	Homo sapiens	programmed cell death 10(PDCD10)	PDCD10
NM_152572	158067	Homo sapiens	adenylate kinase 8(AK8)	AK8
NM_152574	158219	Homo sapiens	tetratricopeptide repeat domain 39B(TTC39B)	TTC39B
NM_152577	158506	Homo sapiens	zinc finger protein 645(ZNF645)	ZNF645
NM_152578	158521	Homo sapiens	fragile X mental retardation 1 neighbor(FMR1NB)	FMR1NB
NM_001031834	282808	Homo sapiens	RAB40A, member RAS oncogene family-like(RAB40AL)	RAB40AL
NM_001031835	5257	Homo sapiens	phosphorylase kinase regulatory subunit beta(PHKB)	PHKB
NM_001031836	157855	Homo sapiens	potassium calcium-activated channel subfamily U member 1(KCNU1)	KCNU1
NM_001082480	9831	Homo sapiens	zinc finger protein 623(ZNF623)	ZNF623
NM_001082488	728635	Homo sapiens	dehydrogenase/reductase 4 like 1(DHRS4L1)	DHRS4L1
NM_001082487	65057	Homo sapiens	adrenocortical dysplasia homolog(ACD)	ACD
NM_001082486	65057	Homo sapiens	adrenocortical dysplasia homolog(ACD)	ACD
NM_004717	9162	Homo sapiens	diacylglycerol kinase iota(DGKI)	DGKI
NM_004716	9159	Homo sapiens	proprotein convertase subtilisin/kexin type 7(PCSK7)	pcsk7
NM_004719	9169	Homo sapiens	SR-related CTD associated factor 11(SCAF11)	SCAF11
NM_004718	9167	Homo sapiens	cytochrome c oxidase subunit 7A2 like(COX7A2L)	COX7A2L
NM_145869	311	Homo sapiens	annexin A11(ANXA11)	ANXA11
NM_145868	311	Homo sapiens	annexin A11(ANXA11)	ANXA11
NM_001031847	1374	Homo sapiens	carnitine palmitoyltransferase 1A(CPT1A)	CPT1A
NM_145867	4056	Homo sapiens	leukotriene C4 synthase(LTC4S)	LTC4S
NM_001031848	5271	Homo sapiens	serpin family B member 8(SERPINB8)	SERPINB8
NM_004711	9145	Homo sapiens	synaptogyrin 1(SYNGR1)	SYNGR1
NM_145865	257629	Homo sapiens	ankyrin repeat and sterile alpha motif domain containing 4B(ANKS4B)	ANKS4B
NM_004710	9144	Homo sapiens	synaptogyrin 2(SYNGR2)	SYNGR2
NM_004713	9147	Homo sapiens	nuclear export mediator factor(NEMF)	NEMF
NM_145863	51130	Homo sapiens	ankyrin repeat and SOCS box containing 3(ASB3)	ASB3
NM_004712	9146	Homo sapiens	hepatocyte growth factor-regulated tyrosine kinase substrate(HGS)	HGS
